ConversationId,TurnNo,UtteranceId,Speaker,Utterance,Intent,Slot
2,5,2_5,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) General - GN
6) Sleeper - S1
7) Sleeper - S2
8) Sleeper - S3
9) Sleeper - S4
10) Sleeper - S5
11) Sleeper - S6
12) Sleeper - S7
13) Sleeper - S8
14) Sleeper - S9
15) Sleeper - S10
16) Sleeper - S11
17) AC 3 tier - B1
18) AC 3 tier - B2
19) AC 3 tier - B3
20) AC 2 tier - A1
21) General - GN
22) General - GN
23) Gen/Disabled - GRD",,
2,6,2_6,Bot,Anything else I can assist you with ?,,
2,7,2_7,User,what is the price of 1ac,train_fare,OOOOOClassCode
2,8,2_8,Bot,Tell us your source station,,
2,9,2_9,User,I will travel from Pataudi road,inform,OOOOSourceSource
2,10,2_10,Bot,Where are you looking to go?,,
2,11,2_11,User,Yeah its Ajmer junction,inform,OODestinationDestination
2,12,2_12,Bot,Total Fare is Rs.762,,
2,13,2_13,Bot,May I help you with anything else ?,,
2,14,2_14,User,No,deny,O
2,15,2_15,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
3,0,3_0,User,namaskar ji,greet,OO
3,1,3_1,Bot,Hello. Apni query bataye,,
3,2,3_2,User,mujhe train 12147 ka coach layout ka jaankare de,coach_layout,OOTrainNoOOOOOO
3,3,3_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) Sleeper - S1
6) Sleeper - S2
7) Sleeper - S3
8) Sleeper - S4
9) Sleeper - S5
10) Sleeper - S6
11) Sleeper - S7
12) Sleeper - S8
13) Sleeper - S9
14) AC 2 tier - A1
15) AC 3 tier - B1
16) AC 3 tier - B2
17) AC 3 tier - B3
18) General - GN
19) General - GN
20) Gen/Disabled - GRD",,
3,4,3_4,Bot,Anything else I can assist you with ?,,
3,5,3_5,User,what is the price of Sleeper,train_fare,OOOOOClassCode
3,6,3_6,Bot,From which station you would like to start?,,
3,7,3_7,User,I will travel from Miraj junction,inform,OOOOSourceSource
3,8,3_8,Bot,Where are you looking to go?,,
3,9,3_9,User,I will travel to Bhusaval junction,inform,OOOODestinationDestination
3,10,3_10,Bot,Total Fare is Rs.387.5,,
3,11,3_11,Bot,Anything else I can assist you with ?,,
3,12,3_12,User,Nahi,deny,O
3,13,3_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
4,0,4_0,User,namaskar ji,greet,OO
4,1,4_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
4,2,4_2,User,train ke dibbo ke baare me janna hai,coach_layout,OOOOOOOO
4,3,4_3,Bot,Please provide as your train number,,
4,4,4_4,User,22404,inform,TrainNo
4,5,4_5,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) General - GN
6) Sleeper - S1
7) Sleeper - S2
8) Sleeper - S3
9) Sleeper - S4
10) Sleeper - S5
11) Sleeper - S6
12) Sleeper - S7
13) Sleeper - S8
14) Sleeper - S9
15) AC 2 tier - A1
16) AC 3 tier - B1
17) General - GN
18) General - GN
19) General - GN
20) Gen/Disabled - GRD",,
4,6,4_6,Bot,Anything else I can assist you with ?,,
4,7,4_7,User,what is the price of 2s from Itarsi junction to Gudur junction,train_fare,OOOOOClassCodeOSourceSourceODestinationDestination
4,8,4_8,Bot,Total Fare is Rs.125.30000000000001,,
4,9,4_9,Bot,Anything else I can assist you with ?,,
4,10,4_10,User,Bas aur kuch nahi,deny,OOOO
4,11,4_11,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
5,0,5_0,User,namaste sevak,greet,OO
5,1,5_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
5,2,5_2,User,train number 15228 ka coach layout bataye ,coach_layout,OOTrainNoOOOOO
5,3,5_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) Sleeper - S1
6) Sleeper - S2
7) Sleeper - S3
8) Sleeper - S4
9) Sleeper - S5
10) Sleeper - S6
11) Sleeper - S7
12) Sleeper - S8
13) Sleeper - S9
14) Sleeper - S10
15) Sleeper - S11
16) Pantry - PC
17) AC 3 tier - B1
18) AC 3 tier - B2
19) AC 3 tier - B3
20) AC 3 tier - B4
21) AC 2 tier - A1
22) General - GN
23) General - GN
24) Gen/Disabled - GRD",,
5,4,5_4,Bot,Anything else I can assist you with ?,,
5,5,5_5,User,train cost,train_fare,OO
5,6,5_6,Bot,Tell us your source station,,
5,7,5_7,User,"Sure, Rampur hat",inform,OSourceSource
5,8,5_8,Bot,Where are you planning on going?,,
5,9,5_9,User,"Sure, Katpadi junction",inform,ODestinationDestination
5,10,5_10,Bot,"kindly provide the coach type you would like to travel by. (ex- 2ac, cc, sleeper etc.)",,
5,11,5_11,User,1A,inform,ClassCode
5,12,5_12,Bot,Total Fare is Rs.3994,,
5,13,5_13,Bot,Anything else I can assist you with ?,,
5,14,5_14,User,Nahi,deny,O
5,15,5_15,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
6,0,6_0,User,namaste sevak,greet,OO
6,1,6_1,Bot,Hello. Apni query bataye,,
6,2,6_2,User,12918 mei kaunse coaches uplabdh kraye gae hain,coach_layout,TrainNoOOOOOOO
6,3,6_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) AC 2 tier - A1
6) AC 3 tier - B1
7) AC 3 tier - B2
8) AC 3 tier - B3
9) Pantry - PC
10) Sleeper - S1
11) Sleeper - S2
12) Sleeper - S3
13) Sleeper - S4
14) Sleeper - S5
15) Sleeper - S6
16) Sleeper - S7
17) Sleeper - S8
18) Sleeper - S9
19) Sleeper - S10
20) Sleeper - S11
21) Sleeper - S12
22) Sleeper - S13
23) General - GN
24) General - GN
25) Gen/Disabled - GRD",,
6,4,6_4,Bot,Anything else I can assist you with ?,,
6,5,6_5,User,what is the ticket fare of 2s from Dahod to Anand junction,train_fare,OOOOOOClassCodeOSourceODestinationDestination
6,6,6_6,Bot,Total Fare is Rs.18.3,,
6,7,6_7,Bot,Let me know if I can help you with anything else.,,
6,8,6_8,User,Bas aur kuch nahi,deny,OOOO
6,9,6_9,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
7,0,7_0,User,namaste,greet,O
7,1,7_1,Bot,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
7,2,7_2,User,train coach layout bataye 22631 ka,coach_layout,OOOOTrainNoO
7,3,7_3,Bot,"1) Engine - ENG
2) Generator - PWR
3) AC 1 tier - H1
4) AC 2 tier - A1
5) AC 2 tier - A2
6) AC 2 tier - A3
7) AC 2 tier - AE1
8) AC 3 tier - B9
9) AC 3 tier - B1
10) AC 3 tier - B2
11) AC 3 tier - B3
12) AC 3 tier - B4
13) AC 3 tier - B5
14) AC 3 tier - B6
15) AC 3 tier - B7
16) AC 3 tier - B10
17) AC 3 tier - B8
18) Generator - PWR",,
7,4,7_4,Bot,May I help you with anything else ?,,
7,5,7_5,User,what is the cost of 2ac,train_fare,OOOOOClassCode
7,6,7_6,Bot,Please enter source station,,
7,7,7_7,User,Yeah its Itarsi junction,inform,OOSourceSource
7,8,7_8,Bot,What Destination would you like to travel to?,,
7,9,7_9,User,I will travel to Nagaur,inform,OOOODestination
7,10,7_10,Bot,Total Fare is Rs.1590.0,,
7,11,7_11,Bot,Let me know if I can help you with anything else.,,
7,12,7_12,User,Bas aur kuch nahi,deny,OOOO
7,13,7_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
8,0,8_0,User,good evening,greet,OO
8,1,8_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
8,2,8_2,User,mujhe train ke saare dibbo ke baare me information chahiye,coach_layout,OOOOOOOOOO
8,3,8_3,Bot,Can I have your train number,,
8,4,8_4,User,Sorry man! its 12510,inform,OOOTrainNo
8,5,8_5,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) Sleeper - S1
5) Sleeper - S2
6) Sleeper - S3
7) Sleeper - S4
8) Sleeper - S5
9) AC 2 tier - A1
10) AC 3 tier - B1
11) AC 3 tier - B2
12) AC 3 tier - B3
13) AC 3 tier - B4
14) AC 2 tier - A2
15) AC 3 tier - B5
16) AC 3 tier - B6
17) AC 3 tier - B7
18) Pantry - PC
19) Sleeper - S6
20) Sleeper - S7
21) Sleeper - S8
22) Sleeper - S9
23) Sleeper - S10
24) General - GN
25) Gen/Disabled - GRD",,
8,6,8_6,Bot,Let me know if I can help you with anything else.,,
8,7,8_7,User,what is the cost ,train_fare,OOOOO
8,8,8_8,Bot,What is your source station?,,
8,9,8_9,User,Yeah its New cooch behar,inform,OOSourceSourceSource
8,10,8_10,Bot,What is your Destination?,,
8,11,8_11,User,"Sure, Brahmapur",inform,ODestination
8,12,8_12,Bot,"Please enter your preferred coach type. (ex- 2ac, cc, sleeper etc.)",,
8,13,8_13,User,3AC,inform,ClassCode
8,14,8_14,Bot,Total Fare is Rs.1291,,
8,15,8_15,Bot,Let me know if I can help you with anything else.,,
8,16,8_16,User,Nahi,deny,O
8,17,8_17,Bot,Sevak se sampark karne k liye dhanyawad,,
9,0,9_0,User,good evening,greet,OO
9,1,9_1,Bot,Hello. Apni query bataye,,
9,2,9_2,User,mujhe 12735 ke sare coaches ke baare me janna hai,coach_layout,OTrainNoOOOOOOOO
9,3,9_3,Bot,"1) Engine - ENG
2) GD
3) G1
4) G2
5) G3
6) G4
7) G5
8) G6
9) G7
10) G8
11) G9
12) G10
13) G11
14) G12
15) G13
16) G14
17) Generator - PWR",,
9,4,9_4,Bot,Anything else I can assist you with ?,,
9,5,9_5,User,what is the cost of 3A,train_fare,OOOOOClassCode
9,6,9_6,Bot,Please enter source station,,
9,7,9_7,User,"Sure, Chittapur",inform,OSource
9,8,9_8,Bot,Where are you planning on going?,,
9,9,9_9,User,"Sure, Anantapur",inform,ODestination
9,10,9_10,Bot,Total Fare is Rs.311,,
9,11,9_11,Bot,Anything else I can assist you with ?,,
9,12,9_12,User,No,deny,O
9,13,9_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
10,0,10_0,User,Hi Sevak,greet,OO
10,1,10_1,Bot,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
10,2,10_2,User,can you tell me coache layout,coach_layout,OOOOOO
10,3,10_3,Bot,"Sir, what’s your train number",,
10,4,10_4,User,22691,inform,TrainNo
10,5,10_5,Bot,"1) Engine - ENG
2) Generator - PWR
3) AC 1 tier - H1
4) AC 2 tier - A5
5) AC 2 tier - A4
6) AC 2 tier - A3
7) AC 2 tier - A2
8) AC 2 tier - A1
9) Pantry - PC
10) AC 3 tier - B9
11) AC 3 tier - B8
12) AC 3 tier - B7
13) AC 3 tier - B6
14) AC 3 tier - B5
15) AC 3 tier - B4
16) AC 3 tier - B3
17) AC 3 tier - B2
18) AC 3 tier - B1
19) Generator - PWR",,
10,6,10_6,Bot,Anything else I can assist you with ?,,
10,7,10_7,User,check the fare,train_fare,OOO
10,8,10_8,Bot,Please enter source station,,
10,9,10_9,User,I will travel from Anantapur,inform,OOOOSource
10,10,10_10,Bot,Where are you looking to go?,,
10,11,10_11,User,"Sure, Nagpur",inform,ODestination
10,12,10_12,Bot,"Please enter your preferred coach type. (ex- 2ac, cc, sleeper etc.)",,
10,13,10_13,User,3ac,inform,ClassCode
10,14,10_14,Bot,Total Fare is Rs.1056,,
10,15,10_15,Bot,Let me know if I can help you with anything else.,,
10,16,10_16,User,Bas aur kuch nahi,deny,OOOO
10,17,10_17,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
11,0,11_0,User,namaste sevak,greet,OO
11,1,11_1,Bot,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
11,2,11_2,User,mujhe train 12304 ka coach layout ke bare me jaanna hai,coach_layout,OOTrainNoOOOOOOOO
11,3,11_3,Bot,"1) Engine - ENG
2) Generator - PWR
3) Sleeper - S1
4) Sleeper - S2
5) Sleeper - S3
6) Sleeper - S4
7) Sleeper - S5
8) Sleeper - S6
9) Sleeper - S7
10) Sleeper - S8
11) Sleeper - S9
12) Sleeper - S10
13) Sleeper - S11
14) Pantry - PC
15) AC 3 tier - B1
16) AC 3 tier - B2
17) AC 3 tier - B3
18) AC 2 tier - A1
19) AC 2 tier - A2
20) AC 1 tier - HA1
21) General - GN
22) General - GN
23) Generator - PWR",,
11,4,11_4,Bot,Anything else I can assist you with ?,,
11,5,11_5,User,train cost,train_fare,OO
11,6,11_6,Bot,Please enter source station,,
11,7,11_7,User,I will travel from Tundla junction,inform,OOOOSourceSource
11,8,11_8,Bot,What travelling Destination you would like to go?,,
11,9,11_9,User,Yeah its Mokameh junction,inform,OODestinationDestination
11,10,11_10,Bot,"kindly provide the coach type you would like to travel by. (ex- 2ac, cc, sleeper etc.)",,
11,11,11_11,User,2S,inform,ClassCode
11,12,11_12,Bot,Total Fare is Rs.None,,
11,13,11_13,Bot,Let me know if I can help you with anything else.,,
11,14,11_14,User,No,deny,O
11,15,11_15,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
12,0,12_0,User,good evening,greet,OO
12,1,12_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
12,2,12_2,User,coach map,coach_layout,OO
12,3,12_3,Bot,Can I have your train number,,
12,4,12_4,User,12435,inform,TrainNo
12,5,12_5,Bot,"1) Engine - ENG
2) Generator - PWR
3) AC 1 tier - H1
4) Pantry - PC
5) AC 2 tier - A1
6) AC 2 tier - A2
7) AC 2 tier - A3
8) AC 2 tier - A4
9) AC 3 tier - B1
10) AC 3 tier - B2
11) AC 3 tier - B3
12) AC 3 tier - B4
13) Pantry - PC
14) AC 3 tier - B5
15) AC 3 tier - B6
16) AC 3 tier - B7
17) AC 3 tier - B8
18) AC 3 tier - B9
19) AC 3 tier - B10
20) AC 3 tier - B11
21) Generator - PWR",,
12,6,12_6,Bot,May I help you with anything else ?,,
12,7,12_7,User,what is the cost of 2S from New tinsukia junction to Chhapra,train_fare,OOOOOClassCodeOSourceSourceSourceODestination
12,8,12_8,Bot,Total Fare is Rs.None,,
12,9,12_9,Bot,Anything else I can assist you with ?,,
12,10,12_10,User,Nahi,deny,O
12,11,12_11,Bot,Sevak se sampark karne k liye dhanyawad,,
13,0,13_0,User,namaskar ji,greet,OO
13,1,13_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
13,2,13_2,User,mujhe 12485 ka coach layout ka jaankari chahiye,coach_layout,OTrainNoOOOOOO
13,3,13_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) AC 2 tier - A1
6) AC 3 tier - B1
7) AC 3 tier - B2
8) Sleeper - S1
9) Sleeper - S2
10) Sleeper - S3
11) Sleeper - S4
12) Sleeper - S5
13) Sleeper - S6
14) Sleeper - S7
15) General - GN
16) General - GN
17) General - GN
18) General - GN
19) Gen/Disabled - GRD",,
13,4,13_4,Bot,Let me know if I can help you with anything else.,,
13,5,13_5,User,what is the price of cc from Gwalior to Rohtak junction,train_fare,OOOOOClassCodeOSourceODestinationDestination
13,6,13_6,Bot,Total Fare is Rs.96.0,,
13,7,13_7,Bot,Let me know if I can help you with anything else.,,
13,8,13_8,User,No,deny,O
13,9,13_9,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
14,0,14_0,User,Hello,greet,O
14,1,14_1,Bot,Hello. Apni query bataye,,
14,2,14_2,User,mujhe 12650 ka coach layout jaanna hai,coach_layout,OTrainNoOOOOO
14,3,14_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) AC 1 tier - HA1
5) AC 2 tier - A1
6) AC 3 tier - B4
7) AC 3 tier - B3
8) AC 3 tier - B2
9) AC 3 tier - B1
10) Sleeper - S1
11) Sleeper - S2
12) Pantry - PC
13) Sleeper - S3
14) Sleeper - S4
15) Sleeper - S5
16) Sleeper - S6
17) Sleeper - S7
18) Sleeper - S8
19) Sleeper - S9
20) Sleeper - S10
21) General - GN
22) Parcel Van - VP
23) Parcel Van - VP
24) Parcel Van - VP
25) Gen/Disabled - GRD",,
14,4,14_4,Bot,Anything else I can assist you with ?,,
14,5,14_5,User,check the price,train_fare,OOO
14,6,14_6,Bot,What is your source station?,,
14,7,14_7,User,"Sure, Nagpur",inform,OSource
14,8,14_8,Bot,Where are you looking to go?,,
14,9,14_9,User,I will travel to Kacheguda,inform,OOOODestination
14,10,14_10,Bot,"Please enter your preferred coach type. (ex- 2ac, cc, sleeper etc.)",,
14,11,14_11,User,3a,inform,ClassCode
14,12,14_12,Bot,Total Fare is Rs.584,,
14,13,14_13,Bot,Let me know if I can help you with anything else.,,
14,14,14_14,User,Nahi,deny,O
14,15,14_15,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
15,0,15_0,User,namaskar ji,greet,OO
15,1,15_1,Bot,Hello. Apni query bataye,,
15,2,15_2,User,coach map,coach_layout,OO
15,3,15_3,Bot,"Sir, what’s your train number",,
15,4,15_4,User,Yeah its 12642,inform,OOTrainNo
15,5,15_5,Bot,"1) Engine - ENG
2) Parcel Van - VP
3) Parcel Van - VP
4) Gen/Disabled - GRD
5) General - GN
6) General - GN
7) AC 2 tier - A1
8) AC 2 tier - A2
9) AC 3 tier - B1
10) AC 3 tier - B2
11) AC 3 tier - B3
12) Sleeper - S8
13) Sleeper - S7
14) Pantry - PC
15) Sleeper - S6
16) Sleeper - S5
17) Sleeper - S4
18) Sleeper - S3
19) Sleeper - S2
20) Sleeper - S1
21) General - GN
22) General - GN
23) Gen/Disabled - GRD",,
15,6,15_6,Bot,Anything else I can assist you with ?,,
15,7,15_7,User,train cost,train_fare,OO
15,8,15_8,Bot,What is your source station?,,
15,9,15_9,User,I will travel from Agra cantt,inform,OOOOSourceSource
15,10,15_10,Bot,What is your Destination?,,
15,11,15_11,User,"Sure, Kovilpatti",inform,ODestination
15,12,15_12,Bot,"Please enter your preferred coach type. (ex- 2ac, cc, sleeper etc.)",,
15,13,15_13,User,2s,inform,ClassCode
15,14,15_14,Bot,Total Fare is Rs.257.90000000000003,,
15,15,15_15,Bot,Anything else I can assist you with ?,,
15,16,15_16,User,Nahi,deny,O
15,17,15_17,Bot,Sevak se sampark karne k liye dhanyawad,,
16,0,16_0,User,good evening,greet,OO
16,1,16_1,Bot,Hello. Apni query bataye,,
16,2,16_2,User,train map,coach_layout,OO
16,3,16_3,Bot,Can I have your train number,,
16,4,16_4,User,Oh! 12309,inform,OTrainNo
16,5,16_5,Bot,"1) Engine - ENG
2) Generator - PWR
3) AC 3 tier - BE1
4) AC 3 tier - B1
5) AC 3 tier - B2
6) AC 3 tier - B3
7) AC 3 tier - B4
8) AC 3 tier - B5
9) AC 3 tier - B6
10) AC 3 tier - B7
11) AC 3 tier - B8
12) AC 2 tier - A1
13) AC 2 tier - A2
14) AC 2 tier - A3
15) AC 2 tier - A4
16) AC 2 tier - A5
17) AC 2 tier - A6
18) AC 2 tier - A7
19) Pantry - PC
20) AC 1 tier - H1
21) AC 1 tier - H2
22) Generator - PWR",,
16,6,16_6,Bot,Let me know if I can help you with anything else.,,
16,7,16_7,User,what is the ticket fare of 2a from Patna junction to Kanpur central,train_fare,OOOOOOClassCodeOSourceSourceODestinationDestination
16,8,16_8,Bot,Total Fare is Rs.837.0,,
16,9,16_9,Bot,Anything else I can assist you with ?,,
16,10,16_10,User,No,deny,O
16,11,16_11,Bot,Sevak se sampark karne k liye dhanyawad,,
17,0,17_0,User,good evening,greet,OO
17,1,17_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
17,2,17_2,User,koun koun sa coaches available hai 12515 me,coach_layout,OOOOOOTrainNoO
17,3,17_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) D1
4) AC 2 tier - A1
5) AC 3 tier - B1
6) AC 3 tier - B2
7) AC 3 tier - B3
8) AC 3 tier - B4
9) Sleeper - S1
10) Sleeper - S2
11) Pantry - PC
12) Sleeper - S3
13) Sleeper - S4
14) Sleeper - S5
15) Sleeper - S6
16) Sleeper - S7
17) Sleeper - S8
18) Sleeper - S9
19) Sleeper - S10
20) Sleeper - S11
21) Sleeper - S12
22) Sleeper - S13
23) General - GN
24) General - GN
25) Gen/Disabled - GRD",,
17,4,17_4,Bot,Anything else I can assist you with ?,,
17,5,17_5,User,what is the price of 1a,train_fare,OOOOOClassCode
17,6,17_6,Bot,What will be your source station?,,
17,7,17_7,User,Yeah its Ongole,inform,OOSource
17,8,17_8,Bot,What travelling Destination you would like to go?,,
17,9,17_9,User,I will travel to Dhupguri,inform,OOOODestination
17,10,17_10,Bot,Total Fare is Rs.3992,,
17,11,17_11,Bot,Let me know if I can help you with anything else.,,
17,12,17_12,User,No,deny,O
17,13,17_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
18,0,18_0,User,Hi Sevak,greet,OO
18,1,18_1,Bot,Hello. Apni query bataye,,
18,2,18_2,User,mujhe train 22423 ka coach layout ka jaankari chahiye,coach_layout,OOTrainNoOOOOOO
18,3,18_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) General - GN
6) General - GN
7) General - GN
8) General - GN
9) General - GN
10) General - GN
11) General - GN
12) General - GN
13) General - GN
14) General - GN
15) General - GN
16) General - GN
17) General - GN
18) General - GN
19) General - GN
20) General - GN
21) General - GN
22) General - GN
23) Gen/Disabled - GRD",,
18,4,18_4,Bot,Let me know if I can help you with anything else.,,
18,5,18_5,User,what is the price of 1a ,train_fare,OOOOOClassCodeO
18,6,18_6,Bot,What will be your source station?,,
18,7,18_7,User,"Sure, Diphu",inform,OSource
18,8,18_8,Bot,What is your Destination?,,
18,9,18_9,User,Yeah its Kishanganj,inform,OODestination
18,10,18_10,Bot,Total Fare is Rs.1416,,
18,11,18_11,Bot,Let me know if I can help you with anything else.,,
18,12,18_12,User,Nahi,deny,O
18,13,18_13,Bot,Sevak se sampark karne k liye dhanyawad,,
19,0,19_0,User,namaste,greet,O
19,1,19_1,Bot,Hello. Apni query bataye,,
19,2,19_2,User,train 12616 ka coach layout dikhlaye,coach_layout,OTrainNoOOOO
19,3,19_3,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) AC 1 tier - HA1
5) AC 2 tier - A1
6) AC 2 tier - A2
7) AC 3 tier - B1
8) AC 3 tier - B2
9) Sleeper - S1
10) Sleeper - S2
11) Sleeper - S3
12) Pantry - PC
13) Sleeper - S4
14) Sleeper - S5
15) Sleeper - S6
16) Sleeper - S7
17) Sleeper - S8
18) Sleeper - S9
19) Sleeper - S10
20) Sleeper - S11
21) Sleeper - S12
22) Sleeper - S13
23) General - GN
24) General - GN
25) Gen/Disabled - GRD",,
19,4,19_4,Bot,May I help you with anything else ?,,
19,5,19_5,User,what is the cost of 2S,train_fare,OOOOOClassCode
19,6,19_6,Bot,From which station you would like to start?,,
19,7,19_7,User,Yeah its Habibganj,inform,OOSource
19,8,19_8,Bot,What Destination would you like to travel to?,,
19,9,19_9,User,"Sure, Bapatla",inform,ODestination
19,10,19_10,Bot,Total Fare is Rs.None,,
19,11,19_11,Bot,Anything else I can assist you with ?,,
19,12,19_12,User,Nahi,deny,O
19,13,19_13,Bot,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
20,0,20_0,User,Hey,greet,O
20,1,20_1,Bot,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
20,2,20_2,User,train me kitne dibbe hain,coach_layout,OOOOO
20,3,20_3,Bot,Please enter your train number,,
20,4,20_4,User,Yeah its 12478,inform,OOTrainNo
20,5,20_5,Bot,"1) Engine - ENG
2) Gen/Disabled - GRD
3) General - GN
4) General - GN
5) Sleeper - S12
6) Sleeper - S11
7) Sleeper - S10
8) Sleeper - S9
9) Sleeper - S8
10) Sleeper - S7
11) Sleeper - S6
12) Sleeper - S5
13) Sleeper - S4
14) Sleeper - S3
15) Sleeper - S2
16) Sleeper - S1
17) Pantry - PC
18) AC 2 tier - A2
19) AC 2 tier - A1
20) AC 3 tier - B4
21) AC 3 tier - B3
22) AC 3 tier - B2
23) AC 3 tier - B1
24) General - GN
25) Gen/Disabled - GRD",,
20,6,20_6,Bot,Let me know if I can help you with anything else.,,
20,7,20_7,User,what is the cost of 1a,train_fare,OOOOOClassCode
20,8,20_8,Bot,What will be your source station?,,
20,9,20_9,User,"Sure, New delhi",inform,OSourceSource
20,10,20_10,Bot,What Destination would you like to travel to?,,
20,11,20_11,User,Yeah its Jamnagar,inform,OODestination
20,12,20_12,Bot,Total Fare is Rs.2846,,
20,13,20_13,Bot,May I help you with anything else ?,,
20,14,20_14,User,Nahi,deny,O
