Conversation_ID,Turn_No,Utterance_ID,Speaker,Utterance,Intent,Slots
6,1,6_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
6,2,6_2,USER,mujhe current status janna hai train no 12688 on 19-03-2020,trainStatus,0000000TrainNo0Date
6,3,6_3,BOT,Train is at DEHRADUN.,,
6,4,6_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
7,0,7_0,USER,Hello,greet,0
7,1,7_1,BOT,Hello. Apni query bataye,,
7,2,7_2,USER,12304 kaha tak pahuch gaye train,trainStatus,TrainNo00000
7,3,7_3,BOT,Aap kis tareekh ko travel karenge,,
7,4,7_4,USER,17-03-2020,inform,Date
7,5,7_5,BOT,Train is at NEW DELHI.,,
7,6,7_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
8,0,8_0,USER,Hi Sevak,greet,00
8,1,8_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
8,2,8_2,USER,12394 ka status,trainStatus,TrainNo00
8,3,8_3,BOT,Aap kis tareekh ko travel karenge,,
8,4,8_4,USER,18-03-2020,inform,Date
8,5,8_5,BOT,Train is at NEW DELHI.,,
8,6,8_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
9,0,9_0,USER,pranaam,greet,0
9,1,9_1,BOT,Hello. Apni query bataye,,
9,2,9_2,USER,12410 kaha par hai on 19-03-2020,trainStatus,TrainNo0000Date
9,3,9_3,BOT,Train is at H NIZAMUDDIN.,,
9,4,9_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
10,0,10_0,USER,Hi Sevak,greet,00
10,1,10_1,BOT,Hello. Apni query bataye,,
10,2,10_2,USER,12215 kaha par hai,trainStatus,TrainNo000
10,3,10_3,BOT,Aap kis tareekh ko travel karenge,,
10,4,10_4,USER,19-03-2020,inform,Date
10,5,10_5,BOT,Train is at DELHI S ROHILLA.,,
10,6,10_6,BOT,Sevak se sampark karne k liye dhanyawad,,
11,0,11_0,USER,good evening,greet,00
11,1,11_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
11,2,11_2,USER,Train no 13414 k current status batao on 19-03-2020,trainStatus,00TrainNo00000Date
11,3,11_3,BOT,Train is at DELHI.,,
11,4,11_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
12,0,12_0,USER,pranaam,greet,0
12,1,12_1,BOT,Hello. Apni query bataye,,
12,2,12_2,USER,abhi train no 12438 kaha par hai on 18-03-2020,trainStatus,000TrainNo0000Date
12,3,12_3,BOT,Train is at H NIZAMUDDIN.,,
12,4,12_4,BOT,Sevak se sampark karne k liye dhanyawad,,
13,0,13_0,USER,namaste,greet,0
13,1,13_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
13,2,13_2,USER,show me status of train,trainStatus,00000
13,3,13_3,BOT,Can I have your train number,,
13,4,13_4,USER,12313,inform,0000TrainNo
13,5,13_5,BOT,Aap kis tareekh ko travel karenge,,
13,6,13_6,USER,18-03-2020,inform,Date
13,7,13_7,BOT,Train is at SEALDAH.,,
13,8,13_8,BOT,Sevak se sampark karne k liye dhanyawad,,
14,0,14_0,USER,good evening,greet,00
14,1,14_1,BOT,Hello. Apni query bataye,,
14,2,14_2,USER,Train no 22403 ka current status check karo on 18-03-2020,trainStatus,00TrainNo000000Date
14,3,14_3,BOT,Train is at PUDUCHERRY.,,
14,4,14_4,BOT,Sevak se sampark karne k liye dhanyawad,,
15,0,15_0,USER,pranaam,greet,0
15,1,15_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
15,2,15_2,USER,12434 kaha par hai,trainStatus,TrainNo000
15,3,15_3,BOT,Aap kis tareekh ko travel karenge,,
15,4,15_4,USER,17-03-2020,inform,Date
15,5,15_5,BOT,Train is at H NIZAMUDDIN.,,
15,6,15_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
16,0,16_0,USER,namaste sevak,greet,00
16,1,16_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
16,2,16_2,USER,12327 kaha par hai train  for 18-03-2020,trainStatus,TrainNo000000Date
16,3,16_3,BOT,Train is at HOWRAH JUNCTION.,,
16,4,16_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
17,0,17_0,USER,pranaam,greet,0
17,1,17_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
17,2,17_2,USER,abhi train no 12303 ka status kya hai for 18-03-2020,trainStatus,000TrainNo00000Date
17,3,17_3,BOT,Train is at HOWRAH JUNCTION.,,
17,4,17_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
18,0,18_0,USER,Hello,greet,0
18,1,18_1,BOT,Hello. Apni query bataye,,
18,2,18_2,USER,12313 ka status check karo on 19-03-2020,trainStatus,TrainNo00000Date
18,3,18_3,BOT,Train is at SEALDAH.,,
18,4,18_4,BOT,Sevak se sampark karne k liye dhanyawad,,
19,0,19_0,USER,Hey,greet,0
19,1,19_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
19,2,19_2,USER,Train no 12508 k current status batao on 17-03-2020,trainStatus,00TrainNo00000Date
19,3,19_3,BOT,Train is at GUWAHATI.,,
19,4,19_4,BOT,Sevak se sampark karne k liye dhanyawad,,
20,0,20_0,USER,namaste,greet,0
20,1,20_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
20,2,20_2,USER,15657 ka status on 18-03-2020,trainStatus,TrainNo000Date
20,3,20_3,BOT,Train is at SEALDAH.,,
20,4,20_4,BOT,Sevak se sampark karne k liye dhanyawad,,
21,0,21_0,USER,good evening,greet,00
21,1,21_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
21,2,21_2,USER,currently 12724 kaha tak pahuch gaye train,trainStatus,0TrainNo00000
21,3,21_3,BOT,Aap kis tareekh ko travel karenge,,
21,4,21_4,USER,18-03-2020,inform,Date
21,5,21_5,BOT,Train is at NEW DELHI.,,
21,6,21_6,BOT,Sevak se sampark karne k liye dhanyawad,,
22,0,22_0,USER,good evening,greet,00
22,1,22_1,BOT,Hello. Apni query bataye,,
22,2,22_2,USER,Train no 12512 ka running status kya hai,trainStatus,00TrainNo00000
22,3,22_3,BOT,Aap kis tareekh ko travel karenge,,
22,4,22_4,USER,18-03-2020,inform,Date
22,5,22_5,BOT,Train is at TRIVANDRUM CNTL.,,
22,6,22_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
23,0,23_0,USER,namaste,greet,0
23,1,23_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
23,2,23_2,USER,12863 current position batao,trainStatus,TrainNo000
23,3,23_3,BOT,Aap kis tareekh ko travel karenge,,
23,4,23_4,USER,17-03-2020,inform,Date
23,5,23_5,BOT,Train is at HOWRAH JUNCTION.,,
23,6,23_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
24,0,24_0,USER,Hi Sevak,greet,00
24,1,24_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
24,2,24_2,USER,mujhe live status check karna hai,trainStatus,000000
24,3,24_3,BOT,"Sir, what’s your train number",,
24,4,24_4,USER,My bad 12311,inform,00000TrainNo
24,5,24_5,BOT,Aap kis tareekh ko travel karenge,,
24,6,24_6,USER,17-03-2020,inform,Date
24,7,24_7,BOT,Train is at HOWRAH JUNCTION.,,
24,8,24_8,BOT,Sevak se sampark karne k liye dhanyawad,,
25,0,25_0,USER,namaskar ji,greet,00
25,1,25_1,BOT,Hello. Apni query bataye,,
25,2,25_2,USER,abhi train no 19269 kaha hai,trainStatus,000TrainNo00
25,3,25_3,BOT,Aap kis tareekh ko travel karenge,,
25,4,25_4,USER,18-03-2020,inform,Date
25,5,25_5,BOT,Train is at PORBANDAR.,,
25,6,25_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
26,0,26_0,USER,pranaam,greet,0
26,1,26_1,BOT,Hello. Apni query bataye,,
26,2,26_2,USER,mujhe running status status janna hai train no 12642 on 19-03-2020,trainStatus,00000000TrainNo0Date
26,3,26_3,BOT,Train is at H NIZAMUDDIN.,,
26,4,26_4,BOT,Sevak se sampark karne k liye dhanyawad,,
27,0,27_0,USER,hi pal!,greet,00
27,1,27_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
27,2,27_2,USER,12518 ka status check karo on 17-03-2020,trainStatus,TrainNo00000Date
27,3,27_3,BOT,Train is at GUWAHATI.,,
27,4,27_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
28,0,28_0,USER,namaskar ji,greet,00
28,1,28_1,BOT,Hello. Apni query bataye,,
28,2,28_2,USER,currently 22452 kaha tak pahuch gaye train,trainStatus,0TrainNo00000
28,3,28_3,BOT,Aap kis tareekh ko travel karenge,,
28,4,28_4,USER,19-03-2020,inform,Date
28,5,28_5,BOT,Train is at CHANDIGARH.,,
28,6,28_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
29,0,29_0,USER,good evening,greet,00
29,1,29_1,BOT,Hello. Apni query bataye,,
29,2,29_2,USER,abhi train no 12649 ka status kya hai,trainStatus,000TrainNo0000
29,3,29_3,BOT,Aap kis tareekh ko travel karenge,,
29,4,29_4,USER,18-03-2020,inform,Date
29,5,29_5,BOT,Train is at YESVANTPUR JUNCTION.,,
29,6,29_6,BOT,Sevak se sampark karne k liye dhanyawad,,
30,0,30_0,USER,namaste,greet,0
30,1,30_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
30,2,30_2,USER,Train no 12351 ka current status check karo on 19-03-2020,trainStatus,00TrainNo000000Date
30,3,30_3,BOT,Train is at HOWRAH JUNCTION.,,
30,4,30_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
31,0,31_0,USER,pranaam,greet,0
31,1,31_1,BOT,Hello. Apni query bataye,,
31,2,31_2,USER,Train no 12303 k running status check karo,trainStatus,00TrainNo00000
31,3,31_3,BOT,Aap kis tareekh ko travel karenge,,
31,4,31_4,USER,18-03-2020,inform,Date
31,5,31_5,BOT,Train is at HOWRAH JUNCTION.,,
31,6,31_6,BOT,Sevak se sampark karne k liye dhanyawad,,
32,0,32_0,USER,Hello,greet,0
32,1,32_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
32,2,32_2,USER,Train no 12691 k running status batao for 18-03-2020,trainStatus,00TrainNo00000Date
32,3,32_3,BOT,Train is at CHENNAI CENTRAL.,,
32,4,32_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
33,0,33_0,USER,namaste sevak,greet,00
33,1,33_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
33,2,33_2,USER,currently 15960 kaha tak pahuch gaye train,trainStatus,0TrainNo00000
33,3,33_3,BOT,Aap kis tareekh ko travel karenge,,
33,4,33_4,USER,19-03-2020,inform,Date
33,5,33_5,BOT,Train is at DIBRUGARH.,,
33,6,33_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
34,0,34_0,USER,pranaam,greet,0
34,1,34_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
34,2,34_2,USER,12590 kaha par hai on 19-03-2020,trainStatus,TrainNo0000Date
34,3,34_3,BOT,Train is at SECUNDERABAD JUNCTION.,,
34,4,34_4,BOT,Sevak se sampark karne k liye dhanyawad,,
35,0,35_0,USER,pranaam,greet,0
35,1,35_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
35,2,35_2,USER,Train no 16022 ka current status batao on 17-03-2020,trainStatus,00TrainNo00000Date
35,3,35_3,BOT,Train is at MYSORE JUNCTION.,,
35,4,35_4,BOT,Sevak se sampark karne k liye dhanyawad,,
36,0,36_0,USER,Hey,greet,0
36,1,36_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
36,2,36_2,USER,mujhe current status janna hai train no 15635 on 17-03-2020,trainStatus,0000000TrainNo0Date
36,3,36_3,BOT,Train is at OKHA.,,
36,4,36_4,BOT,Sevak se sampark karne k liye dhanyawad,,
37,0,37_0,USER,namaste sevak,greet,00
37,1,37_1,BOT,Hello. Apni query bataye,,
37,2,37_2,USER,Train no 22691 ka running status check karo,trainStatus,00TrainNo00000
37,3,37_3,BOT,Aap kis tareekh ko travel karenge,,
37,4,37_4,USER,19-03-2020,inform,Date
37,5,37_5,BOT,Train is at BANGALORE CY JUNCTION.,,
37,6,37_6,BOT,Sevak se sampark karne k liye dhanyawad,,
38,0,38_0,USER,Hey,greet,0
38,1,38_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
38,2,38_2,USER,currently 15909 kaha tak pahuch gaye train for 19-03-2020,trainStatus,0TrainNo000000Date
38,3,38_3,BOT,Train is at NEW TINSUKIA JUNCTION.,,
38,4,38_4,BOT,Sevak se sampark karne k liye dhanyawad,,
39,0,39_0,USER,Hey,greet,0
39,1,39_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
39,2,39_2,USER,Train no 15023 ka current status kya hai on 19-03-2020,trainStatus,00TrainNo000000Date
39,3,39_3,BOT,Train is at GORAKHPUR JUNCTION.,,
39,4,39_4,BOT,Sevak se sampark karne k liye dhanyawad,,
40,0,40_0,USER,pranaam,greet,0
40,1,40_1,BOT,Hello. Apni query bataye,,
40,2,40_2,USER,abhi 12630 kaha par hai,trainStatus,0TrainNo000
40,3,40_3,BOT,Aap kis tareekh ko travel karenge,,
40,4,40_4,USER,18-03-2020,inform,Date
40,5,40_5,BOT,Train is at H NIZAMUDDIN.,,
40,6,40_6,BOT,Sevak se sampark karne k liye dhanyawad,,
41,0,41_0,USER,Hey,greet,0
41,1,41_1,BOT,Hello. Apni query bataye,,
41,2,41_2,USER,Train no 12902 k running status check karo for 19-03-2020,trainStatus,00TrainNo000000Date
41,3,41_3,BOT,Train is at AHMEDABAD JUNCTION.,,
41,4,41_4,BOT,Sevak se sampark karne k liye dhanyawad,,
42,0,42_0,USER,Hello,greet,0
42,1,42_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
42,2,42_2,USER,Train no 12920 ka current status batao on 17-03-2020,trainStatus,00TrainNo00000Date
42,3,42_3,BOT,Train is at JAMMU TAWI.,,
42,4,42_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
43,0,43_0,USER,hi pal!,greet,00
43,1,43_1,BOT,Hello. Apni query bataye,,
43,2,43_2,USER,abhi train no 22404 ka running status check karo,trainStatus,000TrainNo00000
43,3,43_3,BOT,Aap kis tareekh ko travel karenge,,
43,4,43_4,USER,18-03-2020,inform,Date
43,5,43_5,BOT,Train is at NEW DELHI.,,
43,6,43_6,BOT,Sevak se sampark karne k liye dhanyawad,,
44,0,44_0,USER,namaste sevak,greet,00
44,1,44_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
44,2,44_2,USER,train ka status check karo,trainStatus,00000
44,3,44_3,BOT,Please enter valid train number,,
44,4,44_4,USER,Yeah its 12658,inform,0000TrainNo
44,5,44_5,BOT,Aap kis tareekh ko travel karenge,,
44,6,44_6,USER,17-03-2020,inform,Date
44,7,44_7,BOT,Train is at BANGALORE CY JUNCTION.,,
44,8,44_8,BOT,Sevak se sampark karne k liye dhanyawad,,
45,0,45_0,USER,hi pal!,greet,00
45,1,45_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
45,2,45_2,USER,train no 12155 abhi kaha hai,trainStatus,00TrainNo000
45,3,45_3,BOT,Aap kis tareekh ko travel karenge,,
45,4,45_4,USER,18-03-2020,inform,Date
45,5,45_5,BOT,Train is at HABIBGANJ.,,
45,6,45_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
46,0,46_0,USER,namaste,greet,0
46,1,46_1,BOT,Hello. Apni query bataye,,
46,2,46_2,USER,kaha tak pahuch gaye train 12148,trainStatus,00000TrainNo
46,3,46_3,BOT,Aap kis tareekh ko travel karenge,,
46,4,46_4,USER,18-03-2020,inform,Date
46,5,46_5,BOT,Train is at H NIZAMUDDIN.,,
46,6,46_6,BOT,Sevak se sampark karne k liye dhanyawad,,
47,0,47_0,USER,namaste,greet,0
47,1,47_1,BOT,Hello. Apni query bataye,,
47,2,47_2,USER,19313 kaha par hai on 17-03-2020,trainStatus,TrainNo0000Date
47,3,47_3,BOT,Train is at INDORE JUNCTION BG.,,
47,4,47_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
48,0,48_0,USER,Hey,greet,0
48,1,48_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
48,2,48_2,USER,train ka status check karo,trainStatus,00000
48,3,48_3,BOT,Please provide as your train number,,
48,4,48_4,USER,Sorry man! its 15015,inform,0000TrainNo
48,5,48_5,BOT,Aap kis tareekh ko travel karenge,,
48,6,48_6,USER,17-03-2020,inform,Date
48,7,48_7,BOT,Train is at GORAKHPUR JUNCTION.,,
48,8,48_8,BOT,Sevak se sampark karne k liye dhanyawad,,
49,0,49_0,USER,hi pal!,greet,00
49,1,49_1,BOT,Hello. Apni query bataye,,
49,2,49_2,USER,train 12577 current position btana,trainStatus,0TrainNo000
49,3,49_3,BOT,Aap kis tareekh ko travel karenge,,
49,4,49_4,USER,19-03-2020,inform,Date
49,5,49_5,BOT,Train is at DARBHANGA JUNCTION.,,
49,6,49_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
50,0,50_0,USER,namaste,greet,0
50,1,50_1,BOT,Hello. Apni query bataye,,
50,2,50_2,USER,kaha tak pahuch gaye train 22692,trainStatus,00000TrainNo
50,3,50_3,BOT,Aap kis tareekh ko travel karenge,,
50,4,50_4,USER,19-03-2020,inform,Date
50,5,50_5,BOT,Train is at H NIZAMUDDIN.,,
50,6,50_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
51,0,51_0,USER,pranaam,greet,0
51,1,51_1,BOT,Hello. Apni query bataye,,
51,2,51_2,USER,12708 abhi kaha par hai,trainStatus,TrainNo0000
51,3,51_3,BOT,Aap kis tareekh ko travel karenge,,
51,4,51_4,USER,19-03-2020,inform,Date
51,5,51_5,BOT,Train is at H NIZAMUDDIN.,,
51,6,51_6,BOT,Sevak se sampark karne k liye dhanyawad,,
52,0,52_0,USER,good evening,greet,00
52,1,52_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
52,2,52_2,USER,train ka live status check karo,trainStatus,000000
52,3,52_3,BOT,Please enter your train number,,
52,4,52_4,USER,Yeah its 12295,inform,00000TrainNo
52,5,52_5,BOT,Aap kis tareekh ko travel karenge,,
52,6,52_6,USER,19-03-2020,inform,Date
52,7,52_7,BOT,Train is at BANGALORE CY JUNCTION.,,
52,8,52_8,BOT,Sevak se sampark karne k liye dhanyawad,,
53,0,53_0,USER,Hey,greet,0
53,1,53_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
53,2,53_2,USER,15636 kaha par hai on 18-03-2020,trainStatus,TrainNo0000Date
53,3,53_3,BOT,Train is at GUWAHATI.,,
53,4,53_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
54,0,54_0,USER,Hi Sevak,greet,00
54,1,54_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
54,2,54_2,USER,abhi train no 12438 ka status kya hai,trainStatus,000TrainNo0000
54,3,54_3,BOT,Aap kis tareekh ko travel karenge,,
54,4,54_4,USER,17-03-2020,inform,Date
54,5,54_5,BOT,Train is at H NIZAMUDDIN.,,
54,6,54_6,BOT,Sevak se sampark karne k liye dhanyawad,,
55,0,55_0,USER,Hey,greet,0
55,1,55_1,BOT,Hello. Apni query bataye,,
55,2,55_2,USER,abhi 12707 kaha par hai,trainStatus,0TrainNo000
55,3,55_3,BOT,Aap kis tareekh ko travel karenge,,
55,4,55_4,USER,18-03-2020,inform,Date
55,5,55_5,BOT,Train is at TIRUPATI.,,
55,6,55_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
56,0,56_0,USER,hi pal!,greet,00
56,1,56_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
56,2,56_2,USER,kaha par hai train 12434 for 19-03-2020,trainStatus,0000TrainNo0Date
56,3,56_3,BOT,Train is at H NIZAMUDDIN.,,
56,4,56_4,BOT,Sevak se sampark karne k liye dhanyawad,,
57,0,57_0,USER,Hello,greet,0
57,1,57_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
57,2,57_2,USER,Mujhe train no 12138 ka current status janna tha,trainStatus,000TrainNo00000
57,3,57_3,BOT,Aap kis tareekh ko travel karenge,,
57,4,57_4,USER,19-03-2020,inform,Date
57,5,57_5,BOT,Train is at FIROZPUR CANT.,,
57,6,57_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
58,0,58_0,USER,Hi Sevak,greet,00
58,1,58_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
58,2,58_2,USER,12393 kaha par hai,trainStatus,TrainNo000
58,3,58_3,BOT,Aap kis tareekh ko travel karenge,,
58,4,58_4,USER,19-03-2020,inform,Date
58,5,58_5,BOT,Train is at RJNDR NGR BIHAR.,,
58,6,58_6,BOT,Sevak se sampark karne k liye dhanyawad,,
59,0,59_0,USER,Hello,greet,0
59,1,59_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
59,2,59_2,USER,12435 k status batao,trainStatus,TrainNo000
59,3,59_3,BOT,Aap kis tareekh ko travel karenge,,
59,4,59_4,USER,18-03-2020,inform,Date
59,5,59_5,BOT,Train is at DIBRUGARH TOWN.,,
59,6,59_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
60,0,60_0,USER,namaskar ji,greet,00
60,1,60_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
60,2,60_2,USER,kya mai live status check kar sakta ho,trainStatus,00000000
60,3,60_3,BOT,Please provide as your train number,,
60,4,60_4,USER,My bad 19714,inform,0000000TrainNo
60,5,60_5,BOT,Aap kis tareekh ko travel karenge,,
60,6,60_6,USER,17-03-2020,inform,Date
60,7,60_7,BOT,Train is at SECUNDERABAD JUNCTION.,,
60,8,60_8,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
61,0,61_0,USER,Hey,greet,0
61,1,61_1,BOT,Hello. Apni query bataye,,
61,2,61_2,USER,kaha tak pahuch gaye train 12476,trainStatus,00000TrainNo
61,3,61_3,BOT,Aap kis tareekh ko travel karenge,,
61,4,61_4,USER,19-03-2020,inform,Date
61,5,61_5,BOT,Train is at JAMMU TAWI.,,
61,6,61_6,BOT,Sevak se sampark karne k liye dhanyawad,,
62,0,62_0,USER,Hey,greet,0
62,1,62_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
62,2,62_2,USER,22931 abhi kaha par hai on 17-03-2020,trainStatus,TrainNo00000Date
62,3,62_3,BOT,Train is at BANDRA TERMINUS.,,
62,4,62_4,BOT,Sevak se sampark karne k liye dhanyawad,,
63,0,63_0,USER,namaste sevak,greet,00
63,1,63_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
63,2,63_2,USER,17-03-2020 status of 16502,trainStatus,Date00TrainNo
63,3,63_3,BOT,Train is at YESVANTPUR JUNCTION.,,
63,4,63_4,BOT,Sevak se sampark karne k liye dhanyawad,,
64,0,64_0,USER,namaste,greet,0
64,1,64_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
64,2,64_2,USER,currently kaha tak pahuch gaye train 12505 for 19-03-2020,trainStatus,000000TrainNo0Date
64,3,64_3,BOT,Train is at GUWAHATI.,,
64,4,64_4,BOT,Sevak se sampark karne k liye dhanyawad,,
65,0,65_0,USER,namaste,greet,0
65,1,65_1,BOT,Hello. Apni query bataye,,
65,2,65_2,USER,Train no 22688 ka running status check karo,trainStatus,00TrainNo00000
65,3,65_3,BOT,Aap kis tareekh ko travel karenge,,
65,4,65_4,USER,17-03-2020,inform,Date
65,5,65_5,BOT,Train is at CHANDIGARH.,,
65,6,65_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
66,0,66_0,USER,Hello,greet,0
66,1,66_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
66,2,66_2,USER,kaha par hai train 12332 for 17-03-2020,trainStatus,0000TrainNo0Date
66,3,66_3,BOT,Train is at JAMMU TAWI.,,
66,4,66_4,BOT,Sevak se sampark karne k liye dhanyawad,,
67,0,67_0,USER,namaste,greet,0
